ID_Evento,ID_Fornecedor_DJ,ID_Fornecedor_Buffet,Data_Evento,Comentario_Cliente
101,DJ_A,Buffet_X,2025-08-01,"A pista de dança bombou a noite toda, o DJ A é sensacional! O buffet X também estava delicioso, todos elogiaram."
102,DJ_B,Buffet_Y,2025-08-03,"A comida do buffet Y estava fria e demorou a ser servida. Pelo menos o DJ B animou a galera com um set legal."
103,DJ_A,Buffet_X,2025-08-05,"Segunda vez com o DJ A e ele nunca decepciona. A música foi o ponto alto da festa. Buffet X impecável."
104,DJ_C,Buffet_X,2025-08-07,"O DJ C parecia não entender o público, a pista ficou vazia. A comida do buffet X, como sempre, ótima."
105,DJ_B,Buffet_Y,2025-08-10,"Adoramos o serviço do buffet Y, muito atenciosos. A música do DJ B estava boa, mas um pouco repetitiva."
106,DJ_A,Buffet_Z,2025-08-12,"Buffet Z foi uma surpresa maravilhosa, todos amaram o coquetel. Já o DJ A parece que tocou o mesmo set da outra festa, foi meio chato."
107,DJ_C,Buffet_X,2025-08-15,"Tivemos um problema sério com o DJ C, que chegou atrasado. Sorte que o Buffet X salvou a noite com um atendimento incrível."
108,DJ_A,Buffet_Z,2025-08-20,"O DJ A foi o melhor! Mas o buffet Z deixou a desejar na variedade de salgados. Eram bons, mas poucos."
109,DJ_B,Buffet_Y,2025-08-22,"Tudo perfeito, buffet Y impecável e o som do DJ B na medida certa. Superou nossas expectativas!"
110,DJ_C,Buffet_Z,2025-08-25,"O buffet Z foi bom, mas o DJ C realmente estragou a festa com escolhas musicais ruins. Tive que pedir pra trocar."
111,DJ_A,Buffet_X,2025-09-01,"O atendimento dos garçons do Buffet X foi perfeito. O DJ A também mandou bem, pista cheia."
112,DJ_B,Buffet_Y,2025-09-03,"Buffet Y demorou demais. O DJ B foi ok, mas nada de mais. Festa mediana."
113,DJ_A,Buffet_X,2025-09-05,"Perfeição! O DJ A entendeu o público e o Buffet X serviu drinks maravilhosos. Recomendo!"
114,DJ_C,Buffet_Y,2025-09-07,"Desastre. O DJ C só tocava música antiga, e o Buffet Y serviu comida trocada. Não recomendo."
115,DJ_B,Buffet_Z,2025-09-10,"Gostei muito do Buffet Z, o custo-benefício é ótimo. O DJ B foi simpático e atendeu nossos pedidos."
116,DJ_A,Buffet_X,2025-09-12,"Não tenho do que reclamar. DJ A manteve todos dançando e o Buffet X serviu comida quente a noite toda."
117,DJ_A,Buffet_Y,2025-09-15,"O DJ A foi ótimo, como sempre. Já o Buffet Y... a equipe foi grossa e a comida acabou antes da hora."
118,DJ_B,Buffet_X,2025-09-20,"O Buffet X é de outro nível, vale cada centavo. O DJ B foi bom, mas podia ter animado mais."
119,DJ_C,Buffet_Z,2025-09-22,"O DJ C é péssimo, não contratem. O Buffet Z foi ok, os salgados são gostosos, mas a janta deixou a desejar."
120,DJ_A,Buffet_X,2025-09-25,"Festa incrível! O DJ A e a equipe do Buffet X estão de parabéns. Tudo 100%."
121,DJ_B,Buffet_Y,2025-10-01,"O DJ B foi bem esquecível. O Buffet Y teve um problema com a bebida, que estava quente."
122,DJ_A,Buffet_Z,2025-10-03,"O Buffet Z tem uma ilha de massas maravilhosa. O DJ A foi muito bom, tocou de tudo."
123,DJ_C,Buffet_X,2025-10-05,"Buffet X foi perfeito, mas o DJ C quase arruinou a noite. Ele não sabia mixar as músicas."
124,DJ_B,Buffet_Y,2025-10-07,"Achei o DJ B muito fraco. O Buffet Y também não foi bom, comida muito gordurosa."
125,DJ_A,Buffet_X,2025-10-10,"DJ A foi muito profissional. O Buffet X, como sempre, entregou tudo. Que equipe!"
126,DJ_C,Buffet_Y,2025-10-12,"O DJ C errou a música da nossa entrada! O Buffet Y demorou 1 hora para servir o jantar. Noite estressante."
127,DJ_B,Buffet_Z,2025-10-15,"Um evento agradável. O DJ B tocou um set bacana e o Buffet Z estava saboroso."
128,DJ_A,Buffet_X,2025-10-17,"Melhor DJ! O A sabe ler a pista. E o Buffet X... sem palavras, o melhor da cidade."
129,DJ_A,Buffet_Z,2025-10-20,"Gostei do DJ A, mas achei o som um pouco baixo. O Buffet Z foi ótimo, a comida estava deliciosa."
130,DJ_C,Buffet_X,2025-10-22,"O DJ C foi substituído no meio da festa por um playlist, de tão ruim que era. Sorte que o Buffet X é excelente."
131,DJ_B,Buffet_Y,2025-10-25,"O Buffet Y melhorou muito! A comida estava ótima e o serviço rápido. O DJ B manteve a pista animada."
132,DJ_A,Buffet_X,2025-10-27,"Tudo certo. DJ A foi pontual e profissional. Buffet X também, sem surpresas."
133,DJ_C,Buffet_Z,2025-11-01,"DJ C cometeu erros básicos, e o Buffet Z não tinha opção vegetariana que pedimos."
134,DJ_B,Buffet_X,2025-11-02,"O DJ B foi o ponto alto! Muito animado. O Buffet X foi perfeito, como esperado."
135,DJ_A,Buffet_Y,2025-11-03,"O DJ A foi bom, mas o Buffet Y esqueceu metade dos docinhos. Um absurdo."
136,DJ_B,Buffet_Z,2025-11-04,"Festa boa. O Buffet Z é muito bem servido e o DJ B não deixou a pista parar."
137,DJ_C,Buffet_Y,2025-11-05,"O DJ C sumiu no meio da festa. O Buffet Y... comida fria de novo. decepcionante."
138,DJ_A,Buffet_X,2025-11-06,"Contrataria o DJ A e o Buffet X mil vezes. Profissionalismo e qualidade definem."
139,DJ_B,Buffet_X,2025-11-07,"O DJ B foi apenas ok. Mas o Buffet X compensou, o serviço de bar deles é fantástico."
140,DJ_A,Buffet_Z,2025-11-08,"DJ A foi ótimo! O Buffet Z é bom, mas o espaço que eles montam para a comida é muito pequeno."
141,DJ_C,Buffet_X,2025-11-09,"Buffet X maravilhoso. Mas o DJ C... Por favor, tirem ele do catálogo. Ele é rude e toca mal."
142,DJ_A,Buffet_Y,2025-11-10,"O DJ A foi bom, mas o Buffet Y teve problemas sérios de logística. Faltou gelo."
143,DJ_B,Buffet_Z,2025-11-11,"Adorei o DJ B, muito simpático. O Buffet Z também foi ótimo, comida caseira muito boa."
144,DJ_A,Buffet_X,2025-11-11,"DJ A e Buffet X = festa perfeita. Não tem erro."
145,DJ_C,Buffet_Y,2025-11-12,"DJ C horrível, tocou as músicas erradas na cerimônia. Buffet Y serviu comida azeda. Pior dia."
146,DJ_B,Buffet_X,2025-11-12,"O DJ B foi mediano, não entendeu muito o clima da festa. Mas o Buffet X, como sempre, salvou."
147,DJ_A,Buffet_Z,2025-11-13,"O DJ A foi sensacional, tocou até o amanhecer! O Buffet Z também foi ótimo, o mini-hambúrguer de madrugada foi um sucesso."
148,DJ_C,Buffet_Z,2025-11-13,"Buffet Z foi bom. O DJ C foi o pior que já vi. Ele literalmente colocou um pendrive e saiu."
149,DJ_B,Buffet_Y,2025-11-13,"O DJ B foi atencioso, mas o repertório dele é fraco. O Buffet Y estava ok, mas nada demais."
150,DJ_A,Buffet_X,2025-11-13,"A festa mais incrível de todas. O DJ A é um artista e o Buffet X é uma máquina. Perfeito."